step,accA,accB,accTot,aucA,aucB,aucTot,CE
1,0.8355589207048458,0.5891666666666666,0.7129079092920354,0.8128331703624262,0.9133254618406976,0.9398816168908771,0.9392275959253311
2,0.8536086309523809,0.6354533450704225,0.7165376106194691,0.8679350724068253,0.9306724888644601,0.9435264284687259,0.9754547104239464
3,0.7963836477987422,0.627453071672355,0.6868777654867256,0.9447181793169948,0.9120337720482492,0.9247607892309425,0.9644350707530975
4,0.6865234375,0.50390625,0.5944068030973452,0.8997188811582771,0.8321200297221821,0.8691930970909855,0.9359595999121666
5,0.7146139705882353,0.39765625,0.5883918694690266,0.7269975662560152,0.7760552666026763,0.8209823675339041,0.9460316598415375
6,0.7501179245283018,0.3939672459893048,0.6027724004424779,0.7379790794465173,0.7966789099186709,0.8375061681734632,0.9749911278486252
7,0.7744341563786008,0.42486543062200954,0.6127972898230089,0.7306985771829522,0.7988449685474708,0.8405864340810637,0.9918136820197105
8,0.7171175373134329,0.5080303784860558,0.6010094026548672,0.7504946725130212,0.8126656390250997,0.8361044068555279,0.9827540218830109
9,0.7986004601226994,0.5254649653979239,0.6239629424778761,0.7633825753918444,0.8440031666897002,0.8653740869631068,0.9871459305286407
10,0.778288810483871,0.5152420343137255,0.6595685840707964,0.7364274025985897,0.7834171732982471,0.832504550446377,0.9803825318813324
11,0.7817806603773585,0.5293282085561497,0.6773368362831859,0.7434415964086297,0.7806824840678376,0.8354632035782437,0.9673328548669815
12,0.7911748927038627,0.4523401826484018,0.6270049778761062,0.8391951529421445,0.8344904286959032,0.8877336332793185,0.9319275766611099
13,0.7656895661157025,0.5118303571428572,0.647746128318584,0.8215162923698391,0.8552309588669915,0.8976309029358838,0.9692234992980957
14,0.7608267716535433,0.531802398989899,0.6605019358407079,0.8151499477202079,0.855518204748847,0.8951782767827189,0.9715756177902222
15,0.781784188034188,0.5171301605504587,0.6541413163716814,0.8364518426426371,0.8680138112830125,0.9050032311197482,0.9676907956600189
16,0.7781914893617021,0.5665854357798165,0.6763589955849889,0.830622095383134,0.872164009578658,0.9059874355824997,0.9764152988791466
17,0.7856642376681614,0.5835152838427947,0.6832480641592921,0.8321565392506854,0.8822610013311801,0.9106694163476563,0.9743715077638626
18,0.7875,0.5872109030837004,0.6869123340707964,0.8471200643604183,0.8821668441365316,0.9115139217202586,0.9676433429121971
19,0.8010602678571429,0.5958744517543859,0.6975594579646017,0.7843370790395803,0.8775097704655271,0.903500738148066,0.9738401472568512
20,0.7905701754385965,0.6053989955357143,0.6988039269911505,0.8022745868975136,0.8775762866105413,0.9032756129846958,0.95632104575634
